
📻大佬广播频道,#genre#

怀集音乐PM3,http://lhttp.qingting.fm/live/4804/64k.mp3
怀集音乐m3u8,http://cnlive.cnr.cn/hls/hjyyzs.m3u8

📻中央广播频道,#genre#
中央长江之声,https://ls.qingting.fm/live/5021868/64k.m3u8
中央海峡之声新闻,https://ls.qingting.fm/live/1744/64k.m3u8

📻安徽广播频道,#genre#
安徽MIX961,https://ls.qingting.fm/live/20211718/64k.m3u8
安徽蚌埠交通文艺,https://ls.qingting.fm/live/4577/64k.m3u8
安徽蚌埠经典,https://ls.qingting.fm/live/20152/64k.m3u8
安徽包河之声,https://ls.qingting.fm/live/5022668/64k.m3u8
安徽安庆交通音乐,https://ls.qingting.fm/live/1966/64k.m3u8
安徽安庆综合,https://ls.qingting.fm/live/1965/64k.m3u8
安徽安徽黄山新闻综合,https://ls.qingting.fm/live/1968/64k.m3u8
安徽黄山交通旅游,https://ls.qingting.fm/live/1969/64k.m3u8
安徽宣城交通,https://ls.qingting.fm/live/5023/64k.m3u8
安徽宣城新闻综合,https://ls.qingting.fm/live/5022/64k.m3u8
安徽滁州交通音乐,https://ls.qingting.fm/live/5020/64k.m3u8
安徽滁州经典983电台,https://ls.qingting.fm/live/20211575/64k.m3u8
安徽池州新闻综合,https://ls.qingting.fm/live/5022373/64k.m3u8
安徽宿州文艺,https://ls.qingting.fm/live/5022400/64k.m3u8
安徽宿州交通,https://ls.qingting.fm/live/5022401/64k.m3u8
安徽宿州新闻综合,https://ls.qingting.fm/live/5022399/64k.m3u8
安徽铜陵新闻综合,https://ls.qingting.fm/live/21303/64k.m3u8
安徽铜陵交通生活,https://ls.qingting.fm/live/21305/64k.m3u8
安徽怀远之声,https://ls.qingting.fm/live/5021993/64k.m3u8
安徽临泉交通音乐,https://ls.qingting.fm/live/15318699/64k.m3u8
安徽烈山电台南湖之声,https://ls.qingting.fm/live/15318117/64k.m3u8
安徽淮北综合,https://ls.qingting.fm/live/20211648/64k.m3u8
安徽淮北交通,https://ls.qingting.fm/live/20211647/64k.m3u8
安徽亳州电台交通音乐,https://ls.qingting.fm/live/20212419/64k.m3u8
安徽亳州电台新闻综合,https://ls.qingting.fm/live/20207787/64k.m3u8
安徽界首新闻综合,https://ls.qingting.fm/live/20207785/64k.m3u8
安徽义安区天井湖之声,https://ls.qingting.fm/live/5021979/64k.m3u8

📻北京广播频道,#genre#
北京音乐,https://ls.qingting.fm/live/332/64k.m3u8
北京新闻,https://ls.qingting.fm/live/339/64k.m3u8
北京交通,https://ls.qingting.fm/live/336/64k.m3u8
北京文艺,https://ls.qingting.fm/live/333/64k.m3u8
北京城市,https://ls.qingting.fm/live/345/64k.m3u8
北京故事,https://ls.qingting.fm/live/337/64k.m3u8
北京体育,https://ls.qingting.fm/live/335/64k.m3u8
北京外语,https://ls.qingting.fm/live/334/64k.m3u8
北京青年,https://ls.qingting.fm/live/347/64k.m3u8
北京通州,https://ls.qingting.fm/live/20500023/64k.m3u8
北京阳光,https://ls.qingting.fm/live/5021739/64k.m3u8
北京经典,https://ls.qingting.fm/live/20462/64k.m3u8
北京怀旧金曲,https://ls.qingting.fm/live/5021381/64k.m3u8
北京怀旧音乐,https://ls.qingting.fm/live/20211619/64k.m3u8
北京欧美老歌,https://ls.qingting.fm/live/20211620/64k.m3u8

📻重庆广播频道,#genre#
重庆万盛,https://ls.qingting.fm/live/15318480/64k.m3u8
重庆永川音乐,https://ls.qingting.fm/live/20210236/64k.m3u8
重庆梁平之声,https://ls.qingting.fm/live/20211646/64k.m3u8
重庆大足之声,https://ls.qingting.fm/live/20211676/64k.m3u8
重庆嘉陵之声,https://ls.qingting.fm/live/20211692/64k.m3u8

📻福建广播频道,#genre#
福建福州音乐,https://ls.qingting.fm/live/4846/64k.m3u8
福建福州交通之声,https://ls.qingting.fm/live/5026/64k.m3u8
福建福州新闻,https://ls.qingting.fm/live/5025/64k.m3u8
福建龙岩新闻综合,https://ls.qingting.fm/live/20709/64k.m3u8
福建龙岩旅游之声,https://ls.qingting.fm/live/20711/64k.m3u8
福建平潭共同家园,https://ls.qingting.fm/live/20523/64k.m3u8
福建沙溪之声,https://ls.qingting.fm/live/5021998/64k.m3u8
福建泉州新闻综合,https://ls.qingting.fm/live/15318346/64k.m3u8
福建泉州刺桐之声,https://ls.qingting.fm/live/5022360/64k.m3u8
福建三明新闻综合,https://ls.qingting.fm/live/5022100/64k.m3u8
福建三明交通音乐,https://ls.qingting.fm/live/15318147/64k.m3u8
福建尤溪1066,https://ls.qingting.fm/live/5022498/64k.m3u8
福建宁德新闻,https://ls.qingting.fm/live/20211717/64k.m3u8
福建福州交通之声,http://live.zohi.tv/audio/s10001-FM876/index.m3u8
福建福州新闻广播,http://live.zohi.tv/audio/s10001-FM944/index.m3u8
福建福州音乐广播,http://live.zohi.tv/audio/s10001-FM893/index.m3u8
福建福州左海之声,http://live.zohi.tv/audio/s10001-FM901/index.m3u8

📻甘肃广播频道,#genre#
甘肃兰州新闻,https://ls.qingting.fm/live/1712/64k.m3u8
甘肃天水综合,https://ls.qingting.fm/live/20460/64k.m3u8
甘肃酒泉综合,https://ls.qingting.fm/live/20211633/64k.m3u8
甘肃酒泉宿州,https://ls.qingting.fm/live/15318602/64k.m3u8
甘肃定西交通,https://ls.qingting.fm/live/20212230/64k.m3u8


📻广东广播频道,#genre#
广东新兴,https://ls.qingting.fm/live/20211602/64k.m3u8
广东廉江,https://ls.qingting.fm/live/20211578/64k.m3u8
广东增城,https://ls.qingting.fm/live/20211702/64k.m3u8
广东开平,https://ls.qingting.fm/live/5037/64k.m3u8
广东吴川,https://ls.qingting.fm/live/20211643/64k.m3u8
广东连州,https://ls.qingting.fm/live/20211695/64k.m3u8
广东化州,https://ls.qingting.fm/live/15318689/64k.m3u8
广东花都,https://ls.qingting.fm/live/1263/64k.m3u8
广东恩平,https://ls.qingting.fm/live/20701/64k.m3u8
广东英德,https://ls.qingting.fm/live/5022392/64k.m3u8
广东从化,https://ls.qingting.fm/live/15318698/64k.m3u8
广东经典,https://ls.qingting.fm/live/471/64k.m3u8
广东广州青少年,https://ls.qingting.fm/live/20194/64k.m3u8
广东广州新闻,https://ls.qingting.fm/live/4848/64k.m3u8
广东广州汽车音乐,https://ls.qingting.fm/live/20192/64k.m3u8
广东珠海交通音乐,https://ls.qingting.fm/live/1275/64k.m3u8
广东珠海综合,https://ls.qingting.fm/live/1274/64k.m3u8
广东珠海音乐,https://ls.qingting.fm/live/5021725/64k.m3u8
广东珠海斗门,https://ls.qingting.fm/live/15318432/64k.m3u8
广东深圳音乐,https://ls.qingting.fm/live/1271/64k.m3u8
广东深圳交通,https://ls.qingting.fm/live/1272/64k.m3u8
广东深圳先锋,https://ls.qingting.fm/live/1270/64k.m3u8
广东深圳龙岗,https://ls.qingting.fm/live/20160/64k.m3u8
广东深圳动听,https://ls.qingting.fm/live/1273/64k.m3u8
广东中山快乐,https://ls.qingting.fm/live/1278/64k.m3u8
广东中山新锐,https://ls.qingting.fm/live/1277/64k.m3u8
广东惠州音乐,https://ls.qingting.fm/live/5021523/64k.m3u8
