戏曲专线,#genre#
曲剧小戏《桑林收子》张晓英表演,http://gcw.bdcdn.shoujiduoduo.com/v/190617/2282c7e70fc99fe1e7e065e32b1ab2b9.mp4
河南曲剧《四郎探母》探母【河南海连池曲剧团】,http://gcw.bdcdn.shoujiduoduo.com/v/191208/1aef74e8889ab9199f60927ac66b0885.mp4
马骐主演曲剧《背靴访帅》,http://gcw.bdcdn.shoujiduoduo.com/v/200831/2d7d5874b132f83b8f6d7c2e24ee3cdf.mp4
曲剧《李天方专辑》,http://gcw.bdcdn.shoujiduoduo.com/v/191208/d1a3c9f90719f7eebdafd964b7bcb8f8.mp4
曲剧 刘公案之铡西宫 洛阳市九都翠玲曲剧团,http://gcw.bdcdn.shoujiduoduo.com/v/190429/2ef6445a1215cf06049cac61d72f201e.mp4
曲剧晚会 新版曲剧《风雪配》选段 刘艳丽演唱,http://gcw.bdcdn.shoujiduoduo.com/v/190702/3e371e8c94d2e1070319298ce2f9c2b7.mp4
曲剧《拜年》李天方 张仙草 爆笑合作表演,http://gcw.bdcdn.shoujiduoduo.com/v/190710/acb4c10132c1db9122b9fc1d9bb662e1.mp4
著名曲剧大师李天方《十八哭》经典再现！,http://gcw.bdcdn.shoujiduoduo.com/v/190304/7dc7811188639217fb8299804021325f.mp4
曲剧【王华买爹】全剧 南阳市长宏曲剧团,http://gcw.bdcdn.shoujiduoduo.com/v/190902/19ce2ae8133857ae7ffc2dbe0c674a3b.mp4
李天方、毕松萍表演曲剧《李豁子说媒》两口子把戏演绝了,http://gcw.bdcdn.shoujiduoduo.com/v/190404/fe8abd72959145ed7ca5b56342849b89.mp4
曲剧《卷席筒》海连池,http://gcw.bdcdn.shoujiduoduo.com/v/190527/315a044c2b9cf3a17e2b37ef09e21cd5.mp4
河南曲剧《丁郎认父》 杜文学在马上选段 李天方,http://gcw.bdcdn.shoujiduoduo.com/v/190513/4a77c50ae75a653dfbf5396f45c592e3.mp4
河南曲剧《四郎探母》探母选段 【河南海连池曲剧团】,http://gcw.bdcdn.shoujiduoduo.com/v/190218/c981286b5772c5c5351b202973680264.mp4
梨园春：刘艳丽张人民河南省曲剧团演绎《跑汴京》，真是太精彩了,http://gcw.bdcdn.shoujiduoduo.com/v/191015/2c12827b09a1ba8b1c3a9147f624d98b.mp4
( (曲剧【借簪子】全场●平顶山市大涛曲剧团●★mp4_超清,http://gcw.bdcdn.shoujiduoduo.com/v/190428/002d8daebc70bfbe6e809d28b55084af.mp4
曲剧《荆钗记》张新芳82年演出资料,http://gcw.bdcdn.shoujiduoduo.com/v/190706/f24473d42d884882617f29ab1157b8ab.mp4
河南曲剧《五福临门》【全场】,http://gcw.bdcdn.shoujiduoduo.com/v/200302/3b18c2c8f578035387fc737d88dd8f9e.mp4
曲剧名家刘艳丽、杨帅学反串曲剧《柜中缘》，太好玩了！,http://gcw.bdcdn.shoujiduoduo.com/v/190714/387ed061dfd600ef6021bd89849aa6c2.mp4
曲剧《李豁子结婚》洞房 新娘举刀吓坏李豁子,http://gcw.bdcdn.shoujiduoduo.com/v/201105/3e869cb57c096666978b871997e1781e.mp4
河南曲剧大全 曲剧全集《惊蛰》-上集,http://gcw.bdcdn.shoujiduoduo.com/v/201105/8fb403bfce72a9ae63ec389b5c756092.mp4
曲剧《李豁子说媒》选段 表演: 李天方、毕松萍夫妇演唱,http://gcw.bdcdn.shoujiduoduo.com/v/190419/9e086a2c7ef700f51bb480e522a947ae.mp4
李天方 曲剧《李豁子说媒》-_超清,http://gcw.bdcdn.shoujiduoduo.com/v/190325/3635fa4901fb8f63a26cf623a9c3c549.mp4
曲剧珍藏版《寇准背靴》手提饭篮花园送-马骐 周玉珍演唱,http://gcw.bdcdn.shoujiduoduo.com/v/200317/7c101acea7a9514446426caaa0793840.mp4
曲剧 “武家坡”全场（下） 南阳曲剧艺术中心,http://gcw.bdcdn.shoujiduoduo.com/v/191207/d25810bf3aa56d64dcfa0722c0682570.mp4
曲剧《卷席筒》海连池、刘兰玉、马二章(79年舞台版),http://gcw.bdcdn.shoujiduoduo.com/v/190501/effda381decab3a9da4e1d8090de384a.mp4
曲剧《李豁子离婚》选段李豁子接过来李天方（）,http://gcw.bdcdn.shoujiduoduo.com/v/201115/66568433507300287649a7579cfe59d0.mp4
( (曲剧【赵氏孤儿】全场●★mp4_超清,http://gcw.bdcdn.shoujiduoduo.com/v/190325/870b319c7c76d1454305c961de3193d7.mp4
曲剧《龙情》平顶山曲剧艺术保护中心,http://gcw.bdcdn.shoujiduoduo.com/v/190213/83b5aee6b0ae5ea6e0951c9169838997.mp4
曲剧《哑女告状》完整版,http://gcw.bdcdn.shoujiduoduo.com/v/200608/7fcc1b27a03acfbf1b7b8379370387fa.mp4
董秀娟 曲剧《卷席筒》选段 “前日里咱的娘把药煎”,http://gcw.bdcdn.shoujiduoduo.com/v/200618/f72a7218b1eded2f2b7bf043176f92a7.mp4
《铡赵王》曲剧全场戏 洛阳市曲剧院演出 李秋里录制,http://gcw.bdcdn.shoujiduoduo.com/v/190924/93b9d37f2c7420477a1b082c77a06220.mp4
《洛阳令》曲剧全场戏 洛阳市曲剧院演出 李秋里录制,http://gcw.bdcdn.shoujiduoduo.com/v/191113/2bc375c0e12c9f75ad3549150d2c929c.mp4
曲剧名家李亚军、刘艳丽曲剧《寇准背靴》小花园送饭选段！,http://gcw.bdcdn.shoujiduoduo.com/v/200331/c24282ad8c68477224055f19d324b30e.mp4
张新芳——曲剧《陈三两》：陈三两迈步上公庭,http://gcw.bdcdn.shoujiduoduo.com/v/210118/6c7200369ec769f15448231b47e8bab3.mp4
曲剧 《秦香莲挂帅》全场（上部） 南阳市高新曲剧团,http://gcw.bdcdn.shoujiduoduo.com/v/191122/98131f0938de177cb3ffbe7aa49f6632.mp4
曲剧全场戏《秦香莲后传》郑州市曲剧团,http://gcw.bdcdn.shoujiduoduo.com/v/200603/56247f034823dd320f9094101489d73a.mp4
曲剧海连池曲剧团郭威反朝03,http://gcw.bdcdn.shoujiduoduo.com/v/190225/9fbb0cb5e5338b29f6d9946fd7051adb.mp4
曲剧《包公辞朝》唱腔精选,http://gcw.bdcdn.shoujiduoduo.com/v/190827/d536824d6807395d8b87a2608cc1a4ec.mp4
唢呐高手演奏《河南曲剧》，现场伴奏，悲情唢呐，听哭了！,http://gcw.bdcdn.shoujiduoduo.com/v/191220/9013ac11f2d3b498d134e012852927a1.mp4
曲剧《刘全进瓜》全场戏 南阳市长宏曲剧团演唱,http://gcw.bdcdn.shoujiduoduo.com/v/190920/bd1f1d3a930f50f5ffbed6792da7865a.mp4
河南地方戏 许二强戏曲《秦香莲后传》郑州市曲剧团 郭秋芳领衔主演,http://gcw.bdcdn.shoujiduoduo.com/v/201016/f223500c0e645c1848db0093b47818c1.mp4
李天方唱曲剧《爹怀儿十个月》 一字一句颇有趣味,http://gcw.bdcdn.shoujiduoduo.com/v/191122/1ade9113a8bcc9385cc6e9df9871a27e.mp4
曲剧 刘公案之下南京 洛阳市九都翠玲曲剧团,http://gcw.bdcdn.shoujiduoduo.com/v/201026/22e51c748600e5e42bc5a138c62c5160.mp4
曲剧下朝来一边走一边长叹李天方,http://gcw.bdcdn.shoujiduoduo.com/v/190718/664cfdec0eb7ae39b7ff5c3daab7729c.mp4
曲剧《风雪配》全场 上,http://gcw.bdcdn.shoujiduoduo.com/v/190404/59e91848a56166a30a275089daf59b9a.mp4
张晓英当媒婆，与方素珍、申小梅、杨帅学爆笑表演曲剧《荆钗记》,http://gcw.bdcdn.shoujiduoduo.com/v/210108/8f6b19407cf283a55bb1bdec511fcf8b.mp4
海连池 刘兰玉 马二章主演曲剧《卷席筒》1979年录制,http://gcw.bdcdn.shoujiduoduo.com/v/200807/6b5d21c51c5d6cf4f580155b5ef1f55d.mp4
河南地方戏 刘玲 乔华云演唱曲剧《王小赶脚》选场,http://gcw.bdcdn.shoujiduoduo.com/v/190524/74c592424d50fd8dda66f52b9b30a650.mp4
曲剧 张晓英 教闺女,http://gcw.bdcdn.shoujiduoduo.com/v/210127/870fd252bad1a37fbbc7f19196b2e9cf.mp4
海连池曲剧团 河南曲剧《四郎探母》【探母一折】,http://gcw.bdcdn.shoujiduoduo.com/v/190505/a7900e9cbc6b71e46d7a1a895b103033.mp4
李天方毕松平老师曲剧《李豁子说媒》精彩搞笑! _高清,http://gcw.bdcdn.shoujiduoduo.com/v/190218/94ace5d3a1f02e68621b32b0b3477b9f.mp4
河南曲剧《包公辞朝》兰文祥唱十二月，经典老戏精选唱腔欣赏,http://gcw.bdcdn.shoujiduoduo.com/v/200304/0fd4fbf581484ffebc429692c5aa8d1a.mp4
曲剧《秦香莲》方素珍、侯庆祥、李春景-河南省曲剧团,http://gcw.bdcdn.shoujiduoduo.com/v/190907/9de92127ec2567101234d761b31c1a66.mp4
马骐版河南曲剧《背靴访帅》姜还是老的辣!,http://gcw.bdcdn.shoujiduoduo.com/v/200919/906b70f4cd6f3ad139a2d4986cc48a78.mp4
曲剧：刘垒、郭晓晓、郭艺芳《吴汉杀妻》内录音（洛阳市新安县曲剧团）,http://gcw.bdcdn.shoujiduoduo.com/v/190213/bccccb0837a838d9996b9fae89e4d493.mp4
中原名丑张晓英曲剧《老两口玩浪漫》真搞笑！,http://gcw.bdcdn.shoujiduoduo.com/v/190330/4f21f789c48f1c4a9c739e26056a65af.mp4
曲剧《王华买爹》（第三本上部》,http://gcw.bdcdn.shoujiduoduo.com/v/190528/884972112cd71635aadfc3cad51a80a8.mp4
曲剧《风雪配》选段,http://gcw.bdcdn.shoujiduoduo.com/v/190315/5d17a97a41c3debe8551adc2928b1ed8.mp4
曲剧-海连池《卷席筒》大老爷你稳坐在察院,http://gcw.bdcdn.shoujiduoduo.com/v/190511/4951d7d9e0b1a93c4fa696f45d5ac664.mp4
曲剧《柜中缘》,http://gcw.bdcdn.shoujiduoduo.com/v/190224/a43970035d5ea22b1d9e0e7b60415bd4.mp4
曲剧《包公辞朝》怒打王强-马遂合演唱,http://gcw.bdcdn.shoujiduoduo.com/v/191207/e3686f25f7c417454dbd2be4d0fbc87b.mp4
曲剧《风雪配》装箱-刘艳丽 秦芳欣表演,http://gcw.bdcdn.shoujiduoduo.com/v/190613/1b015c533e065640f025f440158384ae.mp4
曲剧全场戏《窦娥冤》张晓红 刘爱云 郑庆恩,http://gcw.bdcdn.shoujiduoduo.com/v/190609/52cc4815d20d9c25c643fe4366df6c8e.mp4
曲剧_陈三两(孔素红)陈三两漫步上公庭,http://gcw.bdcdn.shoujiduoduo.com/v/190710/916c9cf23da02dfea6e1bc13dd328bf6.mp4
曲剧艺术片《卷席筒》完整版,http://gcw.bdcdn.shoujiduoduo.com/v/190116/87ca5f71fb26343cfa7585396690e072.mp4
曲艺团下乡演出曲剧全场《王小赶脚》 唱的真好听!,http://gcw.bdcdn.shoujiduoduo.com/v/190726/03e697b4f2039b78418bc3735a014dfa.mp4
海连池曲剧《卷席筒》经典选段：小仓娃跪大堂诉冤枉,http://gcw.bdcdn.shoujiduoduo.com/v/190223/09e4765a1fdf115854f683e7fa863377.mp4
河南曲剧鞭打芦花 李天方大师 十冬腊月天你不该拿着那芦花当丝棉,http://gcw.bdcdn.shoujiduoduo.com/v/190519/46d622ba7c7985c5e8045be5a1975188.mp4
曲剧《寇准背靴》李亚军、刘艳丽（周末大戏院版）-戏曲曲剧大全,http://gcw.bdcdn.shoujiduoduo.com/v/190704/a0717ffc8ca402fdbaa8aae339212aee.mp4
李天方夫妇演唱曲剧《苍娃找爹》就是牛!,http://gcw.bdcdn.shoujiduoduo.com/v/190624/0a20f9fccd7449afab722eed0ef0eedf.mp4
曲剧舞台版《卷席筒》跪大堂-海连池演唱,http://gcw.bdcdn.shoujiduoduo.com/v/190215/da8d8e3ce8c4102722492c5f222f9a1a.mp4
曲剧名家胡希华曲剧《李豁子我遭了啥罪》,http://gcw.bdcdn.shoujiduoduo.com/v/190711/123d9450d12ba8ac814e5842c1463256.mp4
曲剧《寇准背靴》马琪，下朝来一边走一边长叹,http://gcw.bdcdn.shoujiduoduo.com/v/191213/9cee14027d15a56c4e9a0c515cadab96.mp4
“小仓娃我离了-登封小县”选段-曲剧《卷席筒》杨帅学,http://gcw.bdcdn.shoujiduoduo.com/v/190602/8b28dec624f172d186f11fc7290c48ff.mp4
曲剧《卷席筒》小仓娃生来灾星重 海连池 郑州市曲剧团,http://gcw.bdcdn.shoujiduoduo.com/v/190404/52298ebc73c6ef8b36a34ad9e09c924d.mp4
曲剧名家董秀娟高徒薛爱红《卷席筒》经典唱段, 抱娇儿止不住悲声大放!,http://gcw.bdcdn.shoujiduoduo.com/v/190608/194edc031eeaed2d7f7ca2589e6768ec.mp4
